order_id,date,session_id,user_id,first_product_id_in_cart,products_purchased,price_in_usd,cogs_in_usd
1,2012-03-19,20,20,1,1,14.99,7.99
2,2012-03-19,104,104,1,1,14.99,7.99
3,2012-03-20,147,147,1,1,14.99,7.99
4,2012-03-20,160,160,1,1,14.99,7.99
5,2012-03-20,177,177,1,1,14.99,7.99
6,2012-03-20,232,232,1,1,14.99,7.99
7,2012-03-20,241,241,1,1,14.99,7.99
8,2012-03-20,295,295,1,1,14.99,7.99
9,2012-03-21,304,304,1,1,14.99,7.99
10,2012-03-21,317,317,1,1,14.99,7.99
11,2012-03-21,321,321,1,1,14.99,7.99
12,2012-03-21,327,327,1,1,14.99,7.99
13,2012-03-21,332,332,1,1,14.99,7.99
14,2012-03-21,336,336,1,1,14.99,7.99
15,2012-03-21,428,428,1,1,14.99,7.99
16,2012-03-21,434,434,1,1,14.99,7.99
17,2012-03-21,465,465,1,1,14.99,7.99
18,2012-03-22,507,507,1,1,14.99,7.99
19,2012-03-22,536,536,1,1,14.99,7.99
20,2012-03-22,615,615,1,1,14.99,7.99
21,2012-03-22,639,639,1,1,14.99,7.99
22,2012-03-23,732,732,1,1,14.99,7.99
23,2012-03-23,750,750,1,1,14.99,7.99
24,2012-03-23,783,783,1,1,14.99,7.99
25,2012-03-24,844,844,1,1,14.99,7.99
26,2012-03-25,908,908,1,1,14.99,7.99
27,2012-03-25,909,909,1,1,14.99,7.99
28,2012-03-25,940,940,1,1,14.99,7.99
29,2012-03-25,954,954,1,1,14.99,7.99
30,2012-03-26,1018,1016,1,1,14.99,7.99
31,2012-03-26,1023,1021,1,1,14.99,7.99
32,2012-03-26,1059,1055,1,1,14.99,7.99
33,2012-03-26,1081,1077,1,1,14.99,7.99
34,2012-03-26,1094,1090,1,1,14.99,7.99
35,2012-03-26,1098,1094,1,1,14.99,7.99
36,2012-03-26,1105,1101,1,1,14.99,7.99
37,2012-03-26,1107,1103,1,1,14.99,7.99
38,2012-03-26,1125,1121,1,1,14.99,7.99
39,2012-03-27,1243,1238,1,1,14.99,7.99
40,2012-03-27,1256,1251,1,1,14.99,7.99
41,2012-03-28,1330,1325,1,1,14.99,7.99
42,2012-03-28,1343,1337,1,1,14.99,7.99
43,2012-03-28,1419,1412,1,1,14.99,7.99
44,2012-03-28,1454,1447,1,1,14.99,7.99
45,2012-03-28,1463,1456,1,1,14.99,7.99
46,2012-03-29,1581,1574,1,1,14.99,7.99
47,2012-03-29,1605,1598,1,1,14.99,7.99
48,2012-03-29,1643,1635,1,1,14.99,7.99
49,2012-03-30,1646,1638,1,1,14.99,7.99
50,2012-03-30,1654,1646,1,1,14.99,7.99
51,2012-03-30,1685,1677,1,1,14.99,7.99
52,2012-03-30,1691,1683,1,1,14.99,7.99
53,2012-03-30,1709,1701,1,1,14.99,7.99
54,2012-03-30,1726,1718,1,1,14.99,7.99
55,2012-03-30,1729,1721,1,1,14.99,7.99
56,2012-03-31,1790,1782,1,1,14.99,7.99
57,2012-03-31,1802,1794,1,1,14.99,7.99
58,2012-03-31,1807,1799,1,1,14.99,7.99
59,2012-03-31,1823,1815,1,1,14.99,7.99
60,2012-03-31,1863,1855,1,1,14.99,7.99
61,2012-04-01,1890,1882,1,1,14.99,7.99
62,2012-04-01,1912,1902,1,1,14.99,7.99
63,2012-04-01,1939,1929,1,1,14.99,7.99
64,2012-04-01,1944,1934,1,1,14.99,7.99
65,2012-04-02,2036,2025,1,1,14.99,7.99
66,2012-04-02,2089,2076,1,1,14.99,7.99
67,2012-04-02,2102,2089,1,1,14.99,7.99
68,2012-04-02,2115,2102,1,1,14.99,7.99
